time,seconds_elapsed,relativeAltitude,pressure
1681238788869615900,-0.564384033203125,0,996.6458892822266
1681238789871633700,0.437633544921875,0.0158538818359375,996.6439819335938
1681238790873500000,1.4395,0.01849365234375,996.6437530517578
1681238791875644000,2.441643798828125,0.01849365234375,996.6437530517578
1681238792877351000,3.443350830078125,0.01849365234375,996.6437530517578
1681238793879479000,4.44547900390625,0.01849365234375,996.6438293457031
1681238795430950000,5.996949951171875,0.0079193115234375,996.6449737548828
1681238796432823800,6.99882373046875,0.005279541015625,996.6453552246094
1681238797434914800,8.000914794921876,-0.0105743408203125,996.6472625732422
1681238798436498000,9.002497802734375,-0.039642333984375,996.6507720947266
1681238799438729700,10.004729736328125,-0.0422821044921875,996.6510009765625
1681238800440592000,11.006591796875,-0.0554962158203125,996.6526031494141
1681238801443018000,12.00901806640625,-0.06341552734375,996.6535949707031
1681238802444876800,13.010876708984375,-0.08984375,996.6565704345703
1681238803447053800,14.0130537109375,-0.10833740234375,996.6587066650391
1681238804449059800,15.015059814453124,-0.1374053955078125,996.6623687744141
1681238805450781000,16.016781005859375,-0.1743927001953125,996.6665649414062
1681238806452583000,17.0185830078125,-0.1955413818359375,996.6692352294922
1681238807454418000,18.02041796875,-0.19818115234375,996.6693878173828
1681238808456558800,19.022558837890625,-0.2061004638671875,996.6704559326172
1681238809458436900,20.024436767578123,-0.2140350341796875,996.6712951660156
1681238810460451800,21.026451904296874,-0.2193145751953125,996.6718292236328
1681238811462667000,22.0286669921875,-0.224609375,996.6725158691406
1681238812464324900,23.030324951171874,-0.224609375,996.6725158691406
1681238813466294800,24.032294677734374,-0.221954345703125,996.6722106933594
1681238814468530000,25.034530029296874,-0.2140350341796875,996.6713714599609
1681238815470177000,26.036177001953124,-0.2061004638671875,996.6704559326172
1681238816472010800,27.0380107421875,-0.1770477294921875,996.6669464111328
1681238817474128000,28.0401279296875,-0.15325927734375,996.6640472412109
1681238818476131000,29.042131103515626,-0.1506195068359375,996.663818359375
1681238819478066000,30.04406591796875,-0.140045166015625,996.6626739501953
1681238820479865900,31.045865966796875,-0.134765625,996.6618347167969
1681238821481692000,32.04769189453125,-0.134765625,996.6618347167969
1681238822484008000,33.05000805664063,-0.1453399658203125,996.6632843017578
1681238823486183000,34.05218286132813,-0.1638336181640625,996.6654205322266
1681238824488226800,35.05422680664063,-0.1717529296875,996.666259765625
1681238825490408000,36.05640795898437,-0.1796875,996.6671752929688
1681238826492691700,37.05869165039063,-0.1717529296875,996.666259765625
1681238827494860800,38.06086083984375,-0.16119384765625,996.6649627685547
1681238828496514800,39.06251489257812,-0.129486083984375,996.6611480712891
1681238829498237000,40.06423681640625,-0.0924835205078125,996.6570281982422
1681238830499982800,41.06598291015625,-0.0872039794921875,996.6562652587891
1681238831502087000,42.0680869140625,-0.0819244384765625,996.6556549072266
1681238832504091000,43.0700908203125,-0.0475616455078125,996.6515350341797
1681238833506122800,44.07212280273438,-0.0475616455078125,996.6515350341797
1681238834508055800,45.07405590820313,-0.0687103271484375,996.6539764404297
1681238835510368800,46.07636865234375,-0.0872039794921875,996.6564178466797
1681238836512222700,47.07822265625,-0.129486083984375,996.661376953125
1681238837514089700,48.08008984375,-0.134765625,996.6618347167969
1681238838516030000,49.082030029296874,-0.134765625,996.6618347167969
1681238839517995800,50.08399584960937,-0.1241912841796875,996.6605377197266
1681238840520187000,51.08618676757813,-0.0924835205078125,996.6569519042969
1681238841521799700,52.08779956054688,-0.0607757568359375,996.6530609130859
1681238842523829000,53.0898291015625,-0.0607757568359375,996.6530609130859
1681238843525747000,54.09174682617188,-0.066070556640625,996.6539001464844
1681238844527573800,55.09357373046875,-0.0792694091796875,996.6555023193359
1681238845529660000,56.095659912109376,-0.0977783203125,996.6575622558594
1681238846531491800,57.09749194335937,-0.1796875,996.6673278808594
1681238847533249800,58.099249755859375,-0.19024658203125,996.6683959960938
1681238848535103700,59.10110375976563,-0.19024658203125,996.6683959960938
1681238849537026800,60.10302685546875,-0.1717529296875,996.6661834716797
1681238850538841900,61.104841796875,-0.1558990478515625,996.6642761230469
1681238851541079800,62.10707983398437,-0.0607757568359375,996.6531372070312
1681238852543284000,63.10928393554688,0.005279541015625,996.6452789306641
1681238853545246000,64.11124584960938,0.0449066162109375,996.6405487060547
1681238854547412000,65.11341186523437,0.0660552978515625,996.6380310058594
